,product_id,category_id,description
0,81F1005056A615EF11E309FFE937AB5C,Аксессуары автоэлектроника,Зеркало внутрисалонное ВЕГА-330 [330 мм; панорамное]
1,8292005056A4699B11E3C460926A1F71,Аксессуары автоэлектроника,Автомобильная штора AUTOLAND FRENZO REPTILE TYPE 1704340-765 BK; черный/змея [Размер M; 60 см; комплект 2 шт]
2,8326005056A4699B11E452A789D3E0ED,Аксессуары автоэлектроника,Фильтр масляный NITTO 10017  4TP-125
3,8326005056A4699B11E452A789D3E115,Аксессуары автоэлектроника,Фильтр масляный NITTO 13026  4IF-109
4,844D00155D03120211E3D4D1D6ECA8D8,Аксессуары автоэлектроника,Очки для водителей SPGlasses AS021 (витринный образец) - не продавать!
5,862B005056A615EF11E33C38589C8988,Аксессуары автоэлектроника,Ароматизатор Ambi-Pur Антитабак кедровое масло и мята
6,87E4005056A615EF11E3B15B65F848FE,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Imola 5x13 4/100 ET 35 DIA 60;1
7,87E4005056A615EF11E3B15B65F84912,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Mugello 6;5x15 4/108 ET 35 DIA 70;1
8,87E4005056A615EF11E3B15B65F84926,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Shuriken 6;5x15 5/110 ET 35 DIA 65;1
9,87E4005056A615EF11E3B15B7096B439,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH650 7;5x18 5/114;3 ET 50 DIA 64;1 SF
10,87E4005056A615EF11E3B15B7096B44D,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-6 7x16 4/114;3 ET 40 DIA 67;1 GMF
11,87E4005056A615EF11E3B16C5FADC6FB,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Shuriken 6;5x15 5/114;3 ET 40 DIA 71;6
12,87E4005056A615EF11E3B16C5FADC70F,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Imola 6x15 4/114;3 ET 44 DIA 70;1
13,87E4005056A615EF11E3B16C5FADC723,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Hanzo 7;5x17 5/114;3 ET 48 DIA 71;6
14,87E4005056A615EF11E3B16C7B50A5F3,Аксессуары автоэлектроника,Автомобильный диск Литой Dotz Dakar 7x15 5/139;7 ET -12 DIA 110 Dark
